Title,Published_date,Likes,Views
In 10 Minutes This Room Will Explode!,2024-04-27,4119420,152710041
The World's Fastest Cleaners,2024-04-25,26076551,670693508
"Ages 1 - 100 Decide Who Wins $250,000",2024-04-20,6067525,277075083
"Guess The Gift, Keep It",2024-04-09,18572155,493069431
"I’m Giving My 250M Subscriber $25,000",2024-04-06,7722692,118923408
"Anything You Touch, You Keep!",2024-04-02,9953281,235700819
7 Days Stranded On An Island,2024-03-30,6984640,362663911
"Keep Track Of Car, Win $10,000",2024-03-19,7738305,165369634
"Stop This Train, Win a Lamborghini",2024-03-16,5202067,212657989
I Survived 7 Days In An Abandoned City,2024-03-02,6393894,278770095
Unboxing My 200M Subscriber Play Button,2024-02-29,13970197,225666486
I Filled Chandler’s Car With Feastables,2024-02-27,13776613,364787277
Most Expensive Hand Model Holds Feastables,2024-02-24,10866530,430731435
"Buy Feastables, Win $10,000",2024-02-17,15041037,360230093
"Face Your Biggest Fear To Win $800,000",2024-02-10,6333155,312237037
"$1 vs $250,000,000 Private Island!",2024-01-27,5724340,322999668
"Protect $500,000 Keep It!",2024-01-13,4712535,174993209
I Spent 7 Days In Solitary Confinement,2023-12-30,5205039,236247963
I Adopted 100 Dogs!,2023-12-23,6274211,312585157
"Survive 100 Days Trapped, Win $500,000",2023-12-16,6607724,377173645
"Feeding A Dog $1 vs $10,000 Steak",2023-12-14,14946620,492955268
Could You Walk Up A Skyscraper?,2023-12-05,14404162,378458991
"$10,000 Every Day You Survive In A Grocery Store",2023-12-02,6958667,407284525
"$1 vs $10,000,000 Job!",2023-11-25,4676623,258691859
I Spent 7 Days Buried Alive,2023-11-18,7560074,257021398
I Gave Away A House On Halloween,2023-11-10,13375730,323377179
Giving Car Keys Instead Of Candy On Halloween,2023-11-09,10596714,353029440
I Built 100 Wells In Africa,2023-11-04,10302157,243327084
"Furthest Away From Me Wins $10,000",2023-11-02,21128772,616521358
World’s Most Expensive Bed,2023-10-31,20235084,440392235
World’s Deadliest Laser Maze!,2023-10-28,4730803,267133938
World’s Most Expensive Coffee,2023-10-19,11115950,255765511
"$100,000,000 Bathroom",2023-10-17,12278487,323844646
Miranda Cosgrove Said What?,2023-10-15,12087058,249009559
"$1 vs $100,000,000 House!",2023-10-14,6110085,341317901
I Tipped A Pizza Delivery Driver A Car,2023-10-12,25737433,604211260
World's Most Dangerous Trap!,2023-10-07,6579672,301711465
I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,2023-10-05,27392920,406915895
"Guess The Gift, Keep It",2023-10-03,24898525,845785407
"Spot The Hidden People For $10,000",2023-09-28,21493766,705039756
I Paid A Random Student’s College Tuition,2023-09-26,24037249,445744666
"$100,000,000 Car Doors",2023-09-19,28193591,1069573771
"$1 vs $100,000,000 Car!",2023-09-16,7579489,438330692
Extreme Home Makeover!,2023-09-12,19198390,365785832
Katana Vs Bullet,2023-09-07,37072464,1037859476
How Many School Buses Can We Stack?,2023-09-05,15262948,469737077
Lamborghini Vs World's Largest Shredder,2023-09-02,5614056,236342947
"Feeding A Cat $10 Vs $10,000 Sushi",2023-08-31,13435175,351973806
"Make This Kick, Win Super Bowl Tickets",2023-08-25,5168629,136363850
Metal Pipe Vs School Bus,2023-08-22,13723277,504198094
"Every Country On Earth Fights For $250,000!",2023-08-19,6341015,235361572
Can You Beat A Girl In Arm Wrestling?,2023-08-17,20615342,528302559
"$1 vs $250,000 Vacation!",2023-08-12,6527945,344647521
I Ate The World’s Most Poisonous Fish,2023-08-08,21373761,463641756
7 Days Stranded At Sea,2023-08-05,8002058,364575365
I Traded My Car At a Red Light,2023-07-15,26035655,631063216
Train Vs Giant Pit,2023-07-08,6498437,265774366
I Buried Treasure in the Bermuda Triangle,2023-07-06,25090720,468921223
"$1 vs $1,000,000,000 Yacht!",2023-06-10,7947467,464985705
Do Pawnshops Scam You?,2023-06-03,15938143,380977087
"Ages 1 - 100 Fight For $500,000",2023-05-27,6662325,426326777
I Got Naruto to Subscribe to Me,2023-05-20,13136971,297614545
I Made An Egg Sandwich With @BayashiTV_,2023-05-13,12052646,269408956
"1,000 Deaf People Hear For The First Time",2023-05-06,5454881,192760549
Would You Pet a Cheetah in Africa?,2023-05-01,27846928,814810513
Tipping A Waitress A Car,2023-04-22,27800648,597613533
Would you go on a Blind Date in Italy?,2023-04-15,23505091,520953013
"$1 vs $500,000 Plane Ticket!",2023-04-01,8575625,485404283
I Sent a Subscriber to Disneyland,2023-03-30,29754526,615596386
I Paid A Real Assassin To Try To Kill Me,2023-03-18,6315954,310021666
"$10,000 Girl Scout Cookies",2023-03-11,13460344,574370335
Do Men Lie About Their Height?,2023-02-14,20782571,500953200
